"","ï..Code","X","Espece","Groupe","Famille","Section","Statut_Qc","Port","Humidity","Substrate","Life_strategy","Wetland_status","Bryophyte.group","Life_form","Frequence_fen","Frequence_bog","Frequence_bog"
"1","AUL.pal",1,"Aulacomnium palustre","Mousse","Aulacomniaceae","Mousse",1,"Moss","yes","tep","Perennial","FACW","Acrocarpous","Turf",56,12,12
"2","CAL.cor",2,"Calliergon cordifolium","Mousse","Calliergonaceae","Mousse",1,"Moss","yes","t","Perennial","OBL","Pleurocarpous","Turf",8,7,7
"3","CAL.str",46,"Straminergon stramineum","Mousse","Calliergonaceae","Mousse",1,"Moss","yes","t","Perennial","FACW","Pleurocarpous","Turf",57,11,11
"4","CAM.ste",3,"Campylium stellatum","Mousse","Amblystegiaceae","Mousse",1,"Moss","yes","b","Perennial","FACW","Pleurocarpous","Weft",41,0,NA
"5","DIC.bon",4,"Dicranum bonjeanii","Mousse","Dicranaceae","Mousse",1,"Moss","yes","b","Perennial","FACW","Acrocarpous","Tuft",23,4,4
"6","DIC.fus",5,"Dicranum fuscescens","Mousse","Dicranaceae","Mousse",1,"Moss","no","g","Perennial","FACU","Acrocarpous","Tuft",2,12,12
"7","DIC.pol",6,"Dicranum polysetum","Mousse","Dicranaceae","Mousse",1,"Moss","no","ep","Perennial","FACU","Acrocarpous","Tuft",8,19,19
"8","DIC.sco",7,"Dicranum scoparium","Mousse","Dicranaceae","Mousse",1,"Moss","no","g","Perennial","FACU","Acrocarpous","Tuft",13,2,2
"9","DIC.und",8,"Dicranum undulatum","Mousse","Dicranaceae","Mousse",1,"Moss","yes","b","Shuttle","FACW","Acrocarpous","Tuft",4,37,37
"10","DRE.exa",17,"Sarmentypnum exannulatum","Mousse","Calliergonaceae","Mousse",1,"Moss","yes","a","Perennial","FACW","Pleurocarpous","Turf",19,7,7
"11","DRE.flu",48,"Warnstorfia fluitans","Mousse","Calliergonaceae","Mousse",1,"Moss","yes","b","Perennial","OBL","Pleurocarpous",NA,27,9,9
"12","HYL.spl",9,"Hylocomium splendens","Mousse","Hylocomiaceae","Mousse",1,"Moss","no","tep","Perennial","FAC","Pleurocarpous","Weft",52,6,6
"13","LIM.rev",18,"Scorpidium revolvens","Mousse","Calliergonaceae","Mousse",1,"Moss","yes","b","Perennial","OBL","Pleurocarpous","Turf",32,1,1
"14","LOE.bad",10,"Loeskypnum badium","Mousse","Calliergonaceae","Mousse",1,"Moss","yes","b","Perennial","FAC","Pleurocarpous","Turf",17,0,NA
"15","PLE.sch",11,"Pleurozium schreberi","Mousse","Hylocomiaceae","Mousse",1,"Moss","no","g","Perennial","FAC","Pleurocarpous","Weft",12,86,86
"16","POH.nut",12,"Pohlia nutans","Mousse","Mielichhoferiaceae","Mousse",1,"Moss","no","g",NA,"FAC","Acrocarpous","Tuft",10,5,5
"17","POL.com",13,"Polytrichum commune","Mousse","Polytrichaceae","Mousse",1,"Moss","no","t","Perennial","FAC","Acrocarpous","Turf",4,14,14
"18","POL.jun",14,"Polytrichum juniperinum","Mousse","Polytrichaceae","Mousse",1,"Moss","no","t","Perennial","FAC","Acrocarpous","Turf",5,20,20
"19","PTL.cri",15,"Ptilium crista-castrensis","Mousse","Hypnaceae","Mousse",1,"Moss","no","tep","Perennial","FACU","Pleurocarpous","Weft",81,17,17
"20","SAN.unc",16,"Sanionia uncinata ","Mousse","Amblystegiaceae","Mousse",1,"Moss","no","rep","Perennial","FACU","Pleurocarpous","Turf",4,1,1
"21","SCO.sco",19,"Scorpidium scorpioides","Mousse","Calliergonaceae","Mousse",1,"Moss","yes","b","Perennial","OBL","Pleurocarpous","Weft",18,0,NA
