Espece;Code;Bryophyte_group;Life_form;Shoot_length_cm;Shoot_length;Sexual_condition;Seta_length;Peristome_type;Spore_size_um;Spore_size;Tomentum
Dicranum bonjeanii;DIC.bon;Acrocarpous;Tuft;13;Shoot 2;Dioicous;Seta 3;Nematodontus;10;Spore 1;Tomentum
Dicranum polysetum;DIC.pol;Acrocarpous;Tuft;15;Shoot 2;Dioicous;Seta 3;Diplolepidous alternate;12;Spore 1;No tomentum
Polytrichum commune;POL.com;Acrocarpous;Turf;2;Shoot 1;Dioicous;Seta 4;Diplolepidous perfect;13;Spore 1;No tomentum
Hylocomium splendens;HYL.spl;Pleurocarpous;Weft;15;Shoot 2;Dioicous;Seta 3;Diplolepidous perfect;14;Spore 1;No tomentum
Pohlia nutans;POH.nut;Acrocarpous;Tuft;2;Shoot 1;Monoicous;Seta 3;Diplolepidous alternate;14;Spore 1;Tomentum
Sphagnum balticum;SPH.bal;Sphagnum;Turf;15;Shoot 2;Dioicous;Seta 0;Diplolepidous perfect;14;Spore 1;No tomentum
Loeskypnum badium;LOE.bad;Pleurocarpous;Turf;6;Shoot 1;Dioicous;Seta 3;Diplolepidous perfect;14;Spore 1;No tomentum
Tomentypnum nitens;TOM.nit;Pleurocarpous;Turf;10;Shoot 2;Dioicous;Seta 4;Diplolepidous perfect;14;Spore 1;No tomentum
Sphagnum wulfianum ;SPH.wul;Sphagnum;Turf;10;Shoot 2;Dioicous;Seta 0;Diplolepidous perfect;14;Spore 1;No tomentum
Dicranum undulatum;DIC.und;Acrocarpous;Tuft;8;Shoot 1;Dioicous;Seta 3;Diplolepidous perfect;15;Spore 1;No tomentum
Dicranum fuscescens;DIC.fus;Acrocarpous;Tuft;12;Shoot 2;Dioicous;Seta 3;Diplolepidous alternate;15;Spore 1;No tomentum
Dicranum scoparium;DIC.sco;Acrocarpous;Tuft;10;Shoot 2;Dioicous;Seta 3;Haplolepideous;17;Spore 1;Tomentum
Polytrichum juniperinum;POL.jun;Acrocarpous;Turf;5.5;Shoot 1;Dioicous;Seta 3;Diplolepidous perfect;18;Spore 2;Tomentum
Sanionia uncinata;SAN.unc;Pleurocarpous;Turf;10;Shoot 2;Monoicous;Seta 2;Diplolepidous perfect;18;Spore 2;No tomentum
Scorpidium revolvens;LIM.rev;Pleurocarpous;Turf;10;Shoot 2;Monoicous;Seta 3;Haplolepideous;19;Spore 2;Tomentum
Sphagnum cuspidatum;SPH.cus;Sphagnum;Turf;8;Shoot 1;Dioicous;Seta 0;Haplolepideous;19;Spore 2;Tomentum
