Espece;Code;Port;Max_height_cm;Seed_weight_mg;SLA_;Seed;Height;SLA
Amelanchier bartramiana;AME.bar;Shrub;250;NA;16.87;NA;Height 3;SLA 2
Avenella flexuosa;DES.fle;Herbaceous;80;NA;17.510465;NA;Height 2;SLA 2
Betula michauxii;BET.mic;Shrub;50;NA;NA;NA;Height 2;NA
Carex;CAR.sp;Herbaceous;NA;NA;17.4385833;NA;NA;SLA 2
Carex exilis;CAR.exi;Herbaceous;80;NA;NA;NA;Height 2;NA
Carex tenuiflora;CAR.tenu;Herbaceous;50;NA;NA;NA;Height 2;NA
Coptidium lapponicum;RAN.lap;Herbaceous;10;NA;NA;NA;Height 1;NA
Endotropis alnifolia;RHA.aln;Shrub;100;NA;NA;NA;Height 3;NA
Eriophorum russeolum;ERI.rus;Herbaceous;80;NA;NA;NA;Height 2;NA
Eurybia radula;EUR.rad;Herbaceous;100;NA;NA;NA;Height 3;NA
Gentiana linearis;GEN.lin;Herbaceous;80;NA;NA;NA;Height 2;NA
Juncus stygius subsp. americanus;JUN.sty;Herbaceous;40;NA;NA;NA;Height 1;NA
Lonicera villosa;LON.vil;Shrub;70;NA;NA;NA;Height 2;NA
Lycopodium annotinum;LYC.ann;Herbaceous;100;NA;17.41;NA;Height 3;SLA 2
Malaxis unifolia;MAL.uni;Herbaceous;50;NA;NA;NA;Height 2;NA
Neottia cordata;LIS.cor;Herbaceous;35;NA;31.70153311;NA;Height 1;SLA 3
Oclemena nemoralis;OCL.nem;Herbaceous;60;NA;NA;NA;Height 2;NA
Piptatheropsis canadensis;PIP.can;Herbaceous;80;NA;NA;NA;Height 2;NA
Platanthera dilatata var. dilatata ;PLA.dil;Herbaceous;130;NA;NA;NA;Height 3;NA
Selaginella selaginoides;SEL.sel;Herbaceous;8;NA;23.31;NA;Height 1;SLA 2
Viola labradorica;VIO.lab;Herbaceous;20;NA;NA;NA;Height 1;NA
Agrostis mertensii;AGR.mer;Herbaceous;40;0.142666667;22.518;Seed 1;Height 1;SLA 2
Alnus alnobetula subsp. crispa;ALN.vir.cri;Shrub;300;0.352449205;15.54340456;Seed 1;Height 3;SLA 2
Alnus incana subsp. rugosa;ALN.inc;Shrub;900;0.418281763;14.99847011;Seed 1;Height 3;SLA 1
Andromeda polifolia var. latifolia;AND.pol;Shrub;70;0.2004;8.58;Seed 1;Height 2;SLA 1
Betula glandulosa;BET.gla;Shrub;300;0.147391597;15.70924768;Seed 1;Height 3;SLA 2
Calamagrostis canadensis;CAL.can;Herbaceous;110;0.118185483;17.36661873;Seed 1;Height 3;SLA 2
Carex aquatilis;CAR.aqu;Herbaceous;120;0.449357895;15.02828265;Seed 1;Height 3;SLA 2
Carex brunnescens;CAR.bru;Herbaceous;90;0.4736;NA;Seed 1;Height 2;NA
