Espece,Code,Groupe,Famille,Section,Statut_Qc,Port,Humidity,Life_strategy,Bryophyte.group,Life_form
Aulacomnium palustre,AUL.pal,Mousse,Aulacomniaceae,Mousse,1,Moss,yes,Perennial,Acrocarpous,Turf
Calliergon cordifolium,CAL.cor,Mousse,Calliergonaceae,Mousse,1,Moss,yes,Perennial,Pleurocarpous,Turf
Campylium stellatum,CAM.ste,Mousse,Amblystegiaceae,Mousse,1,Moss,yes,Perennial,Pleurocarpous,Weft
Dicranum bonjeanii,DIC.bon,Mousse,Dicranaceae,Mousse,1,Moss,yes,Perennial,Acrocarpous,Tuft
Dicranum fuscescens,DIC.fus,Mousse,Dicranaceae,Mousse,1,Moss,no,Perennial,Acrocarpous,Tuft
Dicranum polysetum,DIC.pol,Mousse,Dicranaceae,Mousse,1,Moss,no,Perennial,Acrocarpous,Tuft
Dicranum scoparium,DIC.sco,Mousse,Dicranaceae,Mousse,1,Moss,no,Perennial,Acrocarpous,Tuft
Dicranum undulatum,DIC.und,Mousse,Dicranaceae,Mousse,1,Moss,yes,Shuttle,Acrocarpous,Tuft
Hylocomium splendens,HYL.spl,Mousse,Hylocomiaceae,Mousse,1,Moss,no,Perennial,Pleurocarpous,Weft
Loeskypnum badium,LOE.bad,Mousse,Calliergonaceae,Mousse,1,Moss,yes,Perennial,Pleurocarpous,Turf
Pleurozium schreberi,PLE.sch,Mousse,Hylocomiaceae,Mousse,1,Moss,no,Perennial,Pleurocarpous,Weft
Pohlia nutans,POH.nut,Mousse,Mielichhoferiaceae,Mousse,1,Moss,no,NA,Acrocarpous,Tuft
Polytrichum commune,POL.com,Mousse,Polytrichaceae,Mousse,1,Moss,no,Perennial,Acrocarpous,Turf
Polytrichum juniperinum,POL.jun,Mousse,Polytrichaceae,Mousse,1,Moss,no,Perennial,Acrocarpous,Turf
Ptilium crista-castrensis,PTL.cri,Mousse,Hypnaceae,Mousse,1,Moss,no,Perennial,Pleurocarpous,Weft
Sanionia uncinata ,SAN.unc,Mousse,Amblystegiaceae,Mousse,1,Moss,no,Perennial,Pleurocarpous,Turf
Sarmentypnum exannulatum,DRE.exa,Mousse,Calliergonaceae,Mousse,1,Moss,yes,Perennial,Pleurocarpous,Turf
Scorpidium revolvens,LIM.rev,Mousse,Calliergonaceae,Mousse,1,Moss,yes,Perennial,Pleurocarpous,Turf
Scorpidium scorpioides,SCO.sco,Mousse,Calliergonaceae,Mousse,1,Moss,yes,Perennial,Pleurocarpous,Weft
Sphagnum annulatum,SPH.ann,Sphaigne,Sphagnaceae,Cuspidata,1,Moss,yes,Shuttle,Sphagnum,Turf
Sphagnum balticum ,SPH.bal,Sphaigne,Sphagnaceae,Cuspidata,1,Moss,yes,Shuttle,Sphagnum,Turf
Sphagnum capillifolium,SPH.cap,Sphaigne,Sphagnaceae,Acutifolia,1,Moss,yes,Dominant,Sphagnum,Turf
Sphagnum centrale,SPH.cen,Sphaigne,Sphagnaceae,Sphagnum,1,Moss,yes,Shuttle,Sphagnum,Turf
Sphagnum compactum,SPH.com,Sphaigne,Sphagnaceae,Rigida,1,Moss,yes,Shuttle,Sphagnum,Turf
Sphagnum contortum ,SPH.con,Sphaigne,Sphagnaceae,Subsecunda,1,Moss,yes,Shuttle,Sphagnum,Turf
Sphagnum cuspidatum,SPH.cus,Sphaigne,Sphagnaceae,Cuspidata,1,Moss,yes,Shuttle,Sphagnum,Turf
